# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesWritten,1704662095607000000,1704662155581000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1704662095607000000,1704662155581000000,101
FilePageCacheLockFree.totalPagesRequestsMs,1704662095607000000,1704662155581000000,0
StreamlinedBlobStorage.recordsRelocated,1704662095607000000,1704662155581000000,0
FilePageCacheLockFree.totalBytesWritten,1704662095607000000,1704662155581000000,0
DirectByteBufferAllocator.disposed,1704662095607000000,1704662155581000000,0
FilePageCache.totalPageDisposalsUs,1704662095607000000,1704662155581000000,97
FilePageCache.capacityInBytes,1704662095607000000,1704662155581000000,503316478
FilePageCacheLockFree.totalPagesWriteMs,1704662095607000000,1704662155581000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1704662095607000000,1704662155581000000,0
FilePageCache.pageHits,1704662095607000000,1704662155581000000,23360
FilePageCacheLockFree.totalHeapBytesAllocated,1704662095607000000,1704662155581000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1704662095607000000,1704662155581000000,9868
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1704662095607000000,1704662155581000000,55660
FilePageCache.maxCacheSizeInBytes,1704662095607000000,1704662155581000000,199598080
FilePageCache.totalPageLoadsUs,1704662095607000000,1704662155581000000,19086
FilePageCacheLockFree.housekeeperTurnsSkipped,1704662095607000000,1704662155581000000,23372
StreamlinedBlobStorage.recordsDeleted,1704662095607000000,1704662155581000000,4
FilePageCacheLockFree.totalBytesRead,1704662095607000000,1704662155581000000,0
MappedFileStorage.totalBytesMapped,1704662095607000000,1704662155581000000,149159936
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1704662095607000000,1704662155581000000,199663616
FilePageCacheLockFree.totalClosedStoragesReclaimed,1704662095607000000,1704662155581000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1704662095607000000,1704662155581000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1704662095607000000,1704662155581000000,0
FilePageCacheLockFree.totalPagesAllocated,1704662095607000000,1704662155581000000,0
FilePageCacheLockFree.totalBytesRequested,1704662095607000000,1704662155581000000,0
FilePageCache.uncachedFileAccess,1704662095607000000,1704662155581000000,412
FilePageCacheLockFree.totalPagesRequested,1704662095607000000,1704662155581000000,0
DirectByteBufferAllocator.hits,1704662095607000000,1704662155581000000,0
FilePageCacheLockFree.totalPagesHandedOver,1704662095607000000,1704662155581000000,0
FilePageCache.pageLoads,1704662095607000000,1704662155581000000,36
StorageLockContext.competingThreads.avg,1704662095607000000,1704662155581000000,0.0
FilePageCache.pageLoadsAboveSizeThreshold,1704662095607000000,1704662155581000000,0
MappedFileStorage.totalPagesMapped,1704662095607000000,1704662155581000000,18
workspaceModel.delayed.project.synchronizer.sync.ms,1704662095607000000,1704662155581000000,835
jps.facet.change.listener.init.bridge.ms,1704662095607000000,1704662155581000000,0
workspaceModel.load.cache.metadata.from.file.ms,1704662095607000000,1704662155581000000,173
jps.reload.project.entities.ms,1704662095607000000,1704662155581000000,0
workspaceModel.sync.entities.ms,1704662095607000000,1704662155581000000,0
workspaceModel.mutableEntityStorage.entities.ms,1704662095607000000,1704662155581000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1704662095607000000,1704662155581000000,48
jps.apply.loaded.storage.ms,1704662095607000000,1704662155581000000,514
jps.facet.change.listener.before.change.events.ms,1704662095607000000,1704662155581000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1704662095607000000,1704662155581000000,0
workspaceModel.global.apply.state.to.project.ms,1704662095607000000,1704662155581000000,66
jps.project.serializers.load.ms,1704662095607000000,1704662155581000000,110
jps.module.iml.entities.serializer.save.entities.ms,1704662095607000000,1704662155581000000,0
jps.global.initialize.library.bridges.after.loading.ms,1704662095607000000,1704662155581000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1704662095607000000,1704662155581000000,19
jps.save.global.entities.ms,1704662095607000000,1704662155581000000,2
jps.storage.jps.conf.reader.load.component.ms,1704662095607000000,1704662155581000000,19
jps.global.initialize.library.bridges.ms,1704662095607000000,1704662155581000000,1
jps.library.entities.serializer.load.entities.ms,1704662095607000000,1704662155581000000,0
workspaceModel.save.cache.to.file.ms,1704662095607000000,1704662155581000000,380
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1704662095607000000,1704662155581000000,4
workspaceModel.mutableEntityStorage.replace.by.source.ms,1704662095607000000,1704662155581000000,69
jps.library.entities.serializer.save.entities.ms,1704662095607000000,1704662155581000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1704662095607000000,1704662155581000000,294
jps.facet.change.listener.process.change.events.ms,1704662095607000000,1704662155581000000,1
jps.app.storage.content.writer.save.component.ms,1704662095607000000,1704662155581000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1704662095607000000,1704662155581000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1704662095607000000,1704662155581000000,6
workspaceModel.moduleBridgeLoader.loading.modules.ms,1704662095607000000,1704662155581000000,4893
workspaceModel.moduleBridge.facet.initialization.ms,1704662095607000000,1704662155581000000,1
jps.artifact.entities.serializer.save.entities.ms,1704662095607000000,1704662155581000000,0
jps.global.get.library.by.name.ms,1704662095607000000,1704662155581000000,0
jps.module.iml.entities.serializer.load.entities.ms,1704662095607000000,1704662155581000000,50
jps.load.project.to.empty.storage.ms,1704662095607000000,1704662155581000000,136
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1704662095607000000,1704662155581000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1704662095607000000,1704662155581000000,0
jps.app.storage.content.reader.load.component.ms,1704662095607000000,1704662155581000000,0
workspaceModel.orphan.listener.update.ms,1704662095607000000,1704662155581000000,5
workspaceModel.global.updates.ms,1704662095607000000,1704662155581000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1704662095607000000,1704662155581000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1704662095607000000,1704662155581000000,0
jps.project.serializers.save.ms,1704662095607000000,1704662155581000000,3
jps.global.handle.before.change.events.ms,1704662095607000000,1704662155581000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1704662095607000000,1704662155581000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1704662095607000000,1704662155581000000,0
jps.global.get.library.ms,1704662095607000000,1704662155581000000,0
workspaceModel.moduleBridge.before.changed.ms,1704662095607000000,1704662155581000000,0
workspaceModel.moduleBridge.update.option.ms,1704662095607000000,1704662155581000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1704662095607000000,1704662155581000000,0
jps.global.handle.changed.events.ms,1704662095607000000,1704662155581000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1704662095607000000,1704662155581000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1704662095607000000,1704662155581000000,1
workspaceModel.global.updates.count,1704662095607000000,1704662155581000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1704662095607000000,1704662155581000000,14
jps.global.get.libraries.ms,1704662095607000000,1704662155581000000,1
workspaceModel.load.cache.from.file.ms,1704662095607000000,1704662155581000000,810
workspaceModel.moduleManagerBridge.create.module.instance.ms,1704662095607000000,1704662155581000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1704662095607000000,1704662155581000000,0
jps.artifact.entities.serializer.load.entities.ms,1704662095607000000,1704662155581000000,0
jps.save.changed.project.entities.ms,1704662095607000000,1704662155581000000,3
workspaceModel.mutableEntityStorage.remove.entity.ms,1704662095607000000,1704662155581000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1704662095607000000,1704662155581000000,30
workspaceModel.moduleManagerBridge.get.modules.ms,1704662095607000000,1704662155581000000,0
jps.load.initial.state.ms,1704662095607000000,1704662155581000000,11
FileNameCache.totalMisses,1704662095607000000,1704662155581000000,579622
FileNameCache.queries,1704662095607000000,1704662155581000000,9451619
workspaceModel.initializing.ms,1704662095607000000,1704662155581000000,4
workspaceModel.pre.handlers.ms,1704662095607000000,1704662155581000000,0
workspaceModel.update.unloaded.entities.ms,1704662095607000000,1704662155581000000,0
workspaceModel.updates.precise.ms,1704662095607000000,1704662155581000000,187
workspaceModel.loading.from.cache.ms,1704662095607000000,1704662155581000000,835
workspaceModel.collect.changes.ms,1704662095607000000,1704662155581000000,0
workspaceModel.updates.ms,1704662095607000000,1704662155581000000,258
workspaceModel.check.recursive.update.ms,1704662095607000000,1704662155581000000,2
workspaceModel.updates.count,1704662095607000000,1704662155581000000,5
workspaceModel.init.bridges.ms,1704662095607000000,1704662155581000000,4
workspaceModel.replace.project.model.ms,1704662095607000000,1704662155581000000,0
workspaceModel.to.snapshot.ms,1704662095607000000,1704662155581000000,3
workspaceModel.loading.total.ms,1704662095607000000,1704662155581000000,1047
FlushQueue.waitingTime90PNs,1704662095607000000,1704662155581000000,0
FlushQueue.waitingTimeMaxNs,1704662095607000000,1704662155581000000,0
NonBlockingReadAction.failedExecutionsCount,1704662095607000000,1704662155581000000,13
AWTEventQueue.dispatchTime90PNs,1704662095607000000,1704662155581000000,0
FlushQueue.tasksExecuted,1704662095607000000,1704662155581000000,0
AWTEventQueue.eventsDispatched,1704662095607000000,1704662155581000000,0
FlushQueue.waitingTimeAvgNs,1704662095607000000,1704662155581000000,0.0
ReadAction.executionsCount,1704662095607000000,1704662155581000000,543679
NonBlockingReadAction.finalizedExecutionsCount,1704662095607000000,1704662155581000000,428
AWTEventQueue.dispatchTimeTotalNS,1704662095607000000,1704662155581000000,18229282600
FlushQueue.executionTimeMaxNs,1704662095607000000,1704662155581000000,0
FlushQueue.queueSize90P,1704662095607000000,1704662155581000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1704662095607000000,1704662155581000000,72233383
WriteAction.executionsCount,1704662095607000000,1704662155581000000,2420
AWTEventQueue.dispatchTimeMaxNs,1704662095607000000,1704662155581000000,0
FlushQueue.queueSizeAvg,1704662095607000000,1704662155581000000,0.0
FlushQueue.executionTime90PNs,1704662095607000000,1704662155581000000,0
FlushQueue.queueSizeMax,1704662095607000000,1704662155581000000,0
NonBlockingReadAction.failedExecutionTimeUs,1704662095607000000,1704662155581000000,4367612
AWTEventQueue.dispatchTimeAvgNs,1704662095607000000,1704662155581000000,0.0
FlushQueue.executionTimeAvgNs,1704662095607000000,1704662155581000000,0.0
IndexesFlusher.totalFlushingTimeUs,1704662095607000000,1704662155581000000,46024263
IndexesFlusher.totalFlushes,1704662095607000000,1704662155581000000,27
IndexesFlusher.totalContentionQuotaSpent,1704662095607000000,1704662155581000000,104
IndexesFlusher.totalFlushesRetried,1704662095607000000,1704662155581000000,5
JVM.maxNativeBytes,1704662155581000000,1704662215570000000,-1
JVM.GC.collections,1704662155581000000,1704662215570000000,50
JVM.usedHeapBytes,1704662155581000000,1704662215570000000,493362192
JVM.threadCount,1704662155581000000,1704662215570000000,85
OS.loadAverage,1704662155581000000,1704662215570000000,-1.0
JVM.usedNativeBytes,1704662155581000000,1704662215570000000,347638120
JVM.maxHeapBytes,1704662155581000000,1704662215570000000,1572864000
JVM.totalBytesAllocated,1704662155581000000,1704662215570000000,5498986632
